sentiment,selected_text
neutral,"what`s up? Not much, just listening to music  I`m in TX"
neutral,"you people are missing the point here, instead of  loosing followers he`s GAINING! over 50 new ppl in 6 hours"
sadness,its just one of those days....
neutral,"Diana , do you like the perfume I gave you ? "
neutral,I miss rollerblading down Shoreline.
worry,ugh.
neutral,"yeah, still waitin`"
sadness,"e  Dammit, that would have been amazing!! Oh well."
sadness,
worry,but i can`t find a karaoke track in a high enough key
worry,Freaking
neutral,if mom gets paid...
neutral,
sadness,why doesnt he want me anymore
sadness,When my boyfriend almost had a relationship with a close friend of mine.
worry,not looking too good
neutral, Bye ! 
neutral,t hopefully
sadness,got sunburned at the volcano
neutral,lol!
neutral,Cats: unimpressed by thunderstorm. Dog: wishes  would come home
neutral,with your bicycle?
neutral,Good morning!
neutral,Just a reminder to Hydra clients to check your email for important account updates!
sadness,I feel pity for the old man . 
neutral,"_hong  Oh yeah, just came back from a weekend of cosplay photo marathons"
neutral,a whole season behind the US now
neutral," Anyway , it ’ s just a theory . Why do people go around touting theories ? Where ’ s the scientific rigor in that ? "
fear,This feeling I sensed quite recently. It was arisen by the terrific thought that I might lose the man I loved !
sadness,doctor`s scare **** out of me
neutral,http://twitpic.com/2xjoc - can you paint me
sadness,sukks
worry,so cold
neutral, No wonder you say English is a crazy language . 
neutral,.  Sorr
worry,bif doesn`t come down far enough south for me
neutral,Happy
sadness,Unfortunately
neutral, Fine . 
worry,http://pinkpawsforlife.org/ - pets get cancer too.
neutral,"Just woke up and washed up, I have class @ 10 till 11 then chillin in G Building with my nigguhs. Then my bby is coming over @ 3:30!  ilh?"
sadness,"I felt very sad when my boyfriend wanted to break our relationship. Our relationship lasted two years, we shared everything and all this was finished."
neutral,ROCKED
neutral, I don't like Folk music very much . 
neutral,It looks like it might rain
worry,
worry,Why can`t I look beautiful like those girls.
fear,Afraid of a dead body.
sadness,My father had a heart attack when I was not at home (I was still living with them).  He recovered relatively well although he had to retire (which implied relief from the stress of a small scale enterprise).
neutral,ugh!
neutral, Which song ? 
neutral,
fear,I was in the house at night and I heard a hyena crying outside. It cried for almost an hour and I feared it might break the window and enter inside the house.
sadness,sick!
worry,NICE!
anger,*points at the gear question I just posted* I cant get the rest of my Dreadweave set
worry,no more fun..
fear,Franco became very alarmed at this and told him to put his money away immediately . 
neutral,"... go to that person and click the green arrow *following*, then you`ll see *remove*"
fear,"One day, when I realized that I was alone, I felt fear of loneliness."
anger,"When, late at night, I discovered that they had stolen my bike."
neutral,i work til 10:15...
worry,so sad  but its awesome!
neutral,"I could act in most Buffy eps  I have seen them so many times, but s1 was shaky (apart from eps 1,2,6,7 & 12)"
neutral,I guess you will find out shortly.
sadness,Of course I like them ; if I didn't I 'd be utterly miserable . 
worry,I`m stuffed n can`t move
sadness,My mother's death.
worry,Wish i was famous li
fear," I don ’ t feel sick , ... let me check ... Nope ! No fever , I ’ m fine . "
anger,I loved a person and he went away. It wasn't necessary that he left me to reach his goals.
worry,No money... and No Car...
neutral, I like classical music . Do you ? 
neutral,Welcome
neutral, Like what ? 
worry,
anger,s bad
worry,"I`m a laid back person for the most part, Vinny is the opposite.  Guess we compliment each other  it will all work out! How r u?"
neutral,an interesting guy
neutral,"Send that along, lady."
worry,hurts
fear,Saw a classmate knocked down by a motorcycle.
sadness,"Unfortunately,"
worry,aww i know its my addiction!   awww i know sameee  !  its just more more mor
neutral,By newark
sadness,running errands with geeta... feeling like i have the plague
neutral,Starting class. Today we start MediSoft
worry,
neutral,hi Lyndon - if you get this before 4pm Monday 11 May - i have mail for you from  via Tasmania. DM me
neutral,me too
sadness," That ’ s not all ! I also had to finish writing a sales report for my boss . In the end , I finished everything . I wonder what will be waiting for me tomorrow morning . "
sadness,shame
fear,I remember that my form 2 teacher was very fierce and dogmatic.  My feet would tremble whenever I saw her but I had to face the fact that I had to go for her class. 
neutral, August 1st . 
anger,This act of selfless good nature earned her a fine of one hundred francs and caused a riot in the Latin Quarter when enraged fans besieged the Prefecture of Police . 
worry,what are u talking about??? since when dnt u trust me? this hurts... Im a good secret keeper
fear,how do you let go of the fear when it is time to step up to the plate? 
neutral,OMGosh I just saw Hattie wake up! Must be summer when your garden hedgehog comes out of hibernation
neutral,This should be fun.
worry,time to lie in bed and watch tv
boredom,ya know why today sucks?
neutral, Thank you . 
sadness,
sadness,
worry,still shoesless  que ardillaaaaaaaaaaaa!
neutral,best
neutral,just got home lng.
worry,"sucks,"
neutral,in a rather bad mood
sadness,interesting
sadness, The problem is that many poor people might suffer . 
neutral,No. I won`t be back until the 7th
worry,Hoping
neutral,
sadness,Missing you all deeply
fear,And know I pop bottles because I bottle my emotions.. At least I put it all in the open.. 
neutral,"t, I am stuck in"
neutral,Do u mean ur tired because u have 2 go 2 work or u got ur Wii 2 work & now ur tired?
neutral,
neutral,I saw the note in FAQ about other languages.  any thing that would change your mind? need any help or anything else?
neutral,Off to bed .. Nighty night everyone
worry,
anger, This is unfair . 
sadness,A friend told me about his cousin who is my girlfriend. He said she had treated him in a mean and nasty way. I was surprised because in front of other people she had always treated him in a friendly way. I am very sad about it.
neutral,"Happy monday folks,"
neutral,poor
sadness,It made me very sad to hear that some construction company was going to build houses on the beautiful hills by my house.
fear,I am afraid of my academic results as I will face several problems.  I am scared of my limitations and the unlimited problems and I do not know how to cope with them.
neutral,super nice
neutral,hi babe how you doing
sadness,as more fun
sadness,
neutral,My pleasure.  Hear Kelli has new project
neutral,
worry,
neutral,
neutral,HOMEWORK  BORRIING
worry,Spent last night in A&E (ER). Wife tangled wheels with Daughter & hit the deck. Dislocation & fracture resulted.
fear,"I was testing my new roller skates in the street, suddenly a dog ran barking in my direction, very threatening. I was very startled and terribly upset."
worry,Went to bed at 12:20 last night. Woke up around 10:45. Holy ****.  I need to get up EARLIER. Like 8. Wish I could get up at 6 every day.
neutral,thanx
fear,"Concerned as to whether he was adequately looking after himself , but especially concerned as to his future as a writer . "
neutral,that little girl still holding her phone while tears are pouring out of her eyes
anger, my boss has been breathing down my neck all day . I can't wait for the weekend ! 
neutral,
neutral,Hank Thompson ï¿½ The Big One Got Away -- hmm... how old do you have to be to remember THIS?  ? http://blip.fm/~5jboh
fear,"I was alone at home and I could hear odd noises coming from above our bedroom.  I knew that nobody lived there since it was an office.  I got frightened (later I was given a \natural\"" explanation)."""
sadness,My father died. I was away at the time and did not know until two days after.
neutral, Yup . 
worry,"Again, No P.F. Changs for lunch    Boooo"
neutral,
worry,"I sent my donation to #Eric and wanted to put the banner on, but my avatar disappeared when I tried"
anger, My car won ’ t start ! Stupid old car ! 
sadness,she was performing at the lifeball in vienna this year but unfortunately i didn`t get the chance to see her.
neutral,watching Destrey videos
neutral, OK . 
worry,sick
anger,The mother of a person with whom we had been sharing a housing accused me of trying to rip her off over payment of bills in the house. 
